('阜阳市卫生健康委员会', '信息泄露漏洞', '中危')
('华纳唱片', 'SQL注入漏洞', '中危')
('上海隧道工程公司', '弱口令漏洞', '中危')
('宁波双林汽车部件股份有限公司', '任意文件操作漏洞', '中危')
('上海隧道工程股份有限公司', '弱口令漏洞', '低危')
('山东化工职业学院', '弱口令漏洞', '低危')
('北京港经通经济信息咨询服务有限公司上海分公司', 'SQL注入漏洞', '中危')
('看电影123', '任意文件操作漏洞', '中危')
('河源市文广新局', '弱口令漏洞', '中危')
('北京金评传媒科技有限公司', 'SQL注入漏洞', '中危')
('9188啦信息网', '信息泄露漏洞', '低危')
('峰硕家居电子商务有限公司', 'SQL注入漏洞', '中危')
('苏州经贸职业技术学院', '信息泄露漏洞', '中危')
('法兰琳卡(FRANIC)官方网站', 'SQL注入漏洞', '中危')
('扬州扬杰电子科技股份有限公司', 'SQL注入漏洞', '中危')
('百色市右江区人民政府', '信息泄露漏洞', '低危')
('上海市应急管理局', '弱口令漏洞', '低危')
('广东省教育厅', '权限绕过漏洞', '低危')
('广东省教育厅', '弱口令漏洞', '低危')
('广东省教育厅', '弱口令漏洞', '低危')
('深圳市永诺摄影器材股份有限公司', '逻辑漏洞', '中危')
('贵州民族大学', '任意文件操作漏洞', '中危')
('潍坊人才网', 'SQL注入漏洞', '中危')
('迪尚集团有限公司', '弱口令漏洞', '低危')
('ZWHR', '信息泄露漏洞', '高危')
('湖北省建设信息中心', '信息泄露漏洞', '高危')
('重庆蓝博万信息技术有限公司', '信息泄露漏洞', '中危')
('湖南财信金融', '弱口令漏洞', '中危')
('河南省科学院高新技术研究中心', 'SQL注入漏洞', '中危')
('和昌集团', '弱口令漏洞', '低危')
('江西省卫生健康委员会', 'SQL注入漏洞', '中危')
('动感蚂蚁健身', '逻辑漏洞', '中危')
('成都快乐能量体验式培训有限公司', '信息泄露漏洞', '低危')
('中国人民政治协商会议达州市委员会', 'SQL注入漏洞', '中危')
('江苏恩华药业股份有限公司', '弱口令漏洞', '中危')
('江西省农业农村厅', '弱口令漏洞', '中危')
('中国CMA考试网', '信息泄露漏洞', '低危')
('高密信息港', '信息泄露漏洞', '低危')
('湖州师范学院', '弱口令漏洞', '高危')
('上海奔腾电工有限公司', '命令执行漏洞', '高危')
('上海市水务局', '命令执行漏洞', '高危')
('中国人民政治协商会议达州市委员会', '弱口令漏洞', '低危')
('肇庆市人民政府', '弱口令漏洞', '低危')
('上海司法行政网', '弱口令漏洞', '低危')
('深圳市彩之云网络科技有限公司', '弱口令漏洞', '低危')
('招投标网', '弱口令漏洞', '低危')
('宝鸡市住房和城乡建设局', 'SQL注入漏洞', '中危')
('小汤山蔬菜网上商城', 'XSS漏洞', '中危')
('泰州市姜堰区人民政府', '疑似被黑漏洞', '低危')
('世纪农药网', '信息泄露漏洞', '低危')
('国家农产品现代物流工程技术研究中心', '信息泄露漏洞', '低危')
('长沙先导智慧城市投资有限公司', '弱口令漏洞', '中危')
('辽宁省医药对外贸易有限公司', '信息泄露漏洞', '中危')
('建三江信息港', '信息泄露漏洞', '低危')
('河北红燊科技有限公司', '信息泄露漏洞', '低危')
('北京派多格科技发展有限公司', '信息泄露漏洞', '中危')
('二手教材网', 'XSS漏洞', '中危')
('中国葛洲坝集团有限公司', 'XSS漏洞', '中危')
('句容先锋网', '权限绕过漏洞', '中危')
('郑州振农科技有限公司', '信息泄露漏洞', '低危')
('郑州振农科技有限公司', '信息泄露漏洞', '低危')
('上海市应急管理局', '弱口令漏洞', '低危')
('京华信息科技股份有限公司', 'SQL注入漏洞', '中危')
('上海奔腾电工有限公司', '命令执行漏洞', '高危')
('谷瀑环保设备网', 'XSS漏洞', '中危')
('武汉人才网', 'XSS漏洞', '中危')
('喜地商城', 'XSS漏洞', '中危')
('合肥蜂聘网络科技有限公司360建筑网存在信息泄露', '信息泄露漏洞', '低危')
('上海甄汇信息科技有限公司汇联易存在信息泄露', '信息泄露漏洞', '低危')
('常熟经济技术开发区人力资源市场', '代码执行漏洞', '高危')
('常熟经济技术开发区人力资源市场', '弱口令漏洞', '中危')
('常熟经济技术开发区人力资源市场', '弱口令漏洞', '中危')
('大方信息港', '信息泄露漏洞', '低危')
('上海城投（集团）有限公司', '命令执行漏洞', '高危')
('西藏自治区卫生和计划生育委员会', '弱口令漏洞', '中危')
('武汉东湖高新集团股份有限公司', '弱口令漏洞', '中危')
('河北省科学技术协会', '命令执行漏洞', '高危')
('喜地电子商务有限公司', '权限绕过漏洞', '中危')
('杭州简学科技有限公司', 'XSS漏洞', '中危')
('惠州市华阳多媒体电子有限公司', '任意文件操作漏洞', '中危')
('企库网', '信息泄露漏洞', '低危')
('聊城市经济合作局', '信息泄露漏洞', '低危')
('北京爱可生信息技术公司', '弱口令漏洞', '中危')
('上海市工程技术管理学校', '任意文件操作漏洞', '中危')
('北京一起网科技股份有限公司', '弱口令漏洞', '低危')
('河北省林业厅', '逻辑漏洞', '中危')
('湖北金马塑业有限公司', '信息泄露漏洞', '低危')
('自贡市自流井区人民法院', '任意文件操作漏洞', '中危')
('淮北师范大学', '弱口令漏洞', '高危')
('安琪酵母股份有限公司', '信息泄露漏洞', '低危')
('陕西省商务厅', '弱口令漏洞', '中危')
('北京元六鸿远电子科技股份有限公司', 'SQL注入漏洞', '中危')
('北京爱可生信息股份有限公司', '弱口令漏洞', '中危')
('沁园集团', '弱口令漏洞', '低危')
('安琪酵母股份有限公司', '文件上传漏洞', '高危')
('中国华信能源有限公司', 'SQL注入漏洞', '中危')
('华夏黑客联盟', 'XSS漏洞', '中危')
('陕西省商务厅', '弱口令漏洞', '中危')
('西安市鄠邑区政府', 'XSS漏洞', '中危')
('淄博市电子政务和信息资源管理办公室', 'XSS漏洞', '低危')
('中国民办教育协会', '信息泄露漏洞', '低危')
('南充市顺庆区人民检察院', '信息泄露漏洞', '低危')
('石首市交通运输局', '弱口令漏洞', '中危')
('石首市交通运输局', '信息泄露漏洞', '低危')
('中共赤峰市红山区委统战部', '弱口令漏洞', '中危')
('江西省卫生和计划生育委员会', 'SQL注入漏洞', '中危')
('江西省卫生和计划生育委员会', '弱口令漏洞', '中危')
('江西省卫生和计划生育委员会', '弱口令漏洞', '低危')
('河源市高新技术开发区管理委员会', 'XSS漏洞', '低危')
('河源市高新技术开发区管理委员会', '弱口令漏洞', '低危')
('泉州市科技信息网', '弱口令漏洞', '低危')
('广州科客信息技术有限公司', 'SQL注入漏洞', '中危')
('郑州市第七人民医院', '逻辑漏洞', '中危')
('中共阳江市委统战部', '文件上传漏洞', '高危')
('深圳市移付宝科技有限公司', '信息泄露漏洞', '高危')
('中国林业产业数据上报系统', '弱口令漏洞', '中危')
('霍山县电子政务中心', '疑似被黑漏洞', '低危')
('陆军军医大学', '代码执行漏洞', '高危')
('广物控股集团', '弱口令漏洞', '中危')
('蜻蜓FM', '权限绕过漏洞', '低危')
('北京讯腾科技有限公司', 'SQL注入漏洞', '中危')
('中南国际人力资源有限公司', 'SQL注入漏洞', '中危')
('临沧市茶叶网', '弱口令漏洞', '高危')
('长江流域产权交易共同市场', '文件上传漏洞', '高危')
('长春师范大学', '弱口令漏洞', '中危')
('浙江海洋大学', '弱口令漏洞', '低危')
('集美大学', 'XSS漏洞', '低危')
('兰州理工大学', '弱口令漏洞', '中危')
('长江流域产权交易共同市场', '命令执行漏洞', '高危')
('华孚时尚股份有限公司', '命令执行漏洞', '高危')
('常州市住房和城乡建设局', '命令执行漏洞', '高危')
('中盛光电集团', 'SQL注入漏洞', '中危')
('南召国土资源局网', '弱口令漏洞', '高危')
('甘肃省经济合作局', '弱口令漏洞', '高危')
('易企搜', '弱口令漏洞', '中危')
('美目美佳', 'XSS漏洞', '中危')
('深圳鹏讯网络信息有限公司', 'XSS漏洞', '中危')
('手礼网', '逻辑漏洞', '中危')
('包银消费金融', '代码执行漏洞', '低危')
('北京捷成世纪科技股份有限公司', 'SQL注入漏洞', '高危')
('遂宁市人事人才培训网', '弱口令漏洞', '低危')
('泰山区机构编制网', '弱口令漏洞', '高危')
('黑莓粉丝论坛', '信息泄露漏洞', '低危')
('抚州市人力资源和社会保障局', '命令执行漏洞', '高危')
('河池市卫生和计划生育委员会', '命令执行漏洞', '高危')
('北川羌族自治县总工会', '弱口令漏洞', '高危')
('云南师范大学', 'SQL注入漏洞', '中危')
('安阳市公共资源交易中心', '弱口令漏洞', '低危')
('康臣药业集团', '弱口令漏洞', '低危')
('中国建筑防水协会', '信息泄露漏洞', '低危')
('铭智华通科技（北京）有限公司', '信息泄露漏洞', '中危')
('舟山市人民政府办公室', 'SQL注入漏洞', '高危')
('巨野县委', '疑似被黑漏洞', '低危')
('吉林省政府采购中心', '命令执行漏洞', '高危')
('淄博市电子政务和信息资源管理办公室', '弱口令漏洞', '中危')
('成都市教育局', '弱口令漏洞', '中危')
('徐矿集团', '弱口令漏洞', '低危')
('上海元聚网络科技有限公司', '弱口令漏洞', '高危')
('营口市教育信息网', '信息泄露漏洞', '低危')
('荆州共青团phpsso_server存在弱口令', '弱口令漏洞', '中危')
('中国石油集团科学技术研究院有限公司', 'SQL注入漏洞', '中危')
('春苗助学网', '权限绕过漏洞', '中危')
('华孚时尚股份有限公司', '弱口令漏洞', '高危')
('上海胜握胜林业有限公司', 'SQL注入漏洞', '中危')
('长江流域产权交易共同市场', '文件上传漏洞', '高危')
('优优祝福礼品网', '权限绕过漏洞', '中危')
('惠州市预约挂号便民服务平台', '逻辑漏洞', '中危')
('广安市住房公积金管理中心', '信息泄露漏洞', '中危')
('广东科技职业技术学院', '弱口令漏洞', '中危')
('华尔街英语培训中心（上海）有限公司', '命令执行漏洞', '高危')
('湖北省妇幼保健院', 'XSS漏洞', '中危')
('宁夏职业技术学院', '弱口令漏洞', '低危')
('云南干部教育网', '权限绕过漏洞', '低危')
('福州市公安局交通警察支队', '弱口令漏洞', '中危')
('雀巢（中国）有限公司', '逻辑漏洞', '中危')
('地暖月刊网', 'SQL注入漏洞', '中危')
('陆军军医大学', '代码执行漏洞', '低危')
('北京猎云万罗科技有限公司', 'SQL注入漏洞', '中危')
('宿州职业技术学院', 'SQL注入漏洞', '中危')
('西北永新涂料有限公司', 'SQL注入漏洞', '中危')
('昆明市网翼通科技有限公司', 'SQL注入漏洞', '高危')
('能源界', '信息泄露漏洞', '低危')
('上海邻趣网络科技有限公司', '信息泄露漏洞', '高危')
('奇点网', 'SQL注入漏洞', '中危')
('abletive', '信息泄露漏洞', '中危')
('大学生家教网', 'SQL注入漏洞', '高危')
('大学生家教网', '信息泄露漏洞', '高危')
('大学生家教网', 'XSS漏洞', '中危')
('国光电器股份有限公司', '弱口令漏洞', '中危')
('吉林省建设安全信息网', '信息泄露漏洞', '中危')
('济南护理职业学院', 'SQL注入漏洞', '中危')
('众悦学车网', 'SQL注入漏洞', '中危')
('陆军军医大学', '代码执行漏洞', '高危')
('陆军军医大学', '代码执行漏洞', '高危')
('中国人民解放军陆军军医大学', '代码执行漏洞', '高危')
('海南省学生体质与健康数据管理中心', '权限绕过漏洞', '中危')
('蜻蜓FM', '弱口令漏洞', '中危')
('中国环境监测总站', '弱口令漏洞', '中危')
('安徽先锋网', '弱口令漏洞', '低危')
('天津市天友建筑设计股份有限公司', '信息泄露漏洞', '中危')
('北京长城网', '弱口令漏洞', '中危')
('中国少年预备役训练营', 'SQL注入漏洞', '中危')
('畜牧狼招聘网', 'SQL注入漏洞', '中危')
('国药集团', '弱口令漏洞', '低危')
('河池市卫生和计划生育委员会', '命令执行漏洞', '高危')
('商丘人才网', 'SQL注入漏洞', '中危')
('深圳鹏讯网络信息有限公司', 'XSS漏洞', '中危')
('锦屏县纪委监察委网', '弱口令漏洞', '高危')
('江阴大澄新媒体发展有限公司', '弱口令漏洞', '中危')
('宝鸡人才网', 'SQL注入漏洞', '中危')
('山东农工党', '弱口令漏洞', '高危')
('青海省市场监督管理局', '弱口令漏洞', '中危')
('中国铁路招标网', '入侵事件漏洞', '低危')
('石家庄妇幼保健院', 'SQL注入漏洞', '中危')
('天健集团', '弱口令漏洞', '中危')
('宜兴市人力资源和社会保障局', '命令执行漏洞', '高危')
('赤峰市人民防空办公室', '弱口令漏洞', '高危')
('福建人力资源和社会保障网', 'SQL注入漏洞', '中危')
('江西省卫生健康委员会', '命令执行漏洞', '高危')
('恒为科技(上海)股份有限公司', 'SQL注入漏洞', '中危')
('神雾科技集团股份有限公司', 'SQL注入漏洞', '中危')
('象州县纪检监察网', 'SQL注入漏洞', '中危')
('象州县纪检监察网', 'SQL注入漏洞', '中危')
('佛山市图书馆', '命令执行漏洞', '高危')
('宜阳县人民检察院', '弱口令漏洞', '中危')
('陕西省政务服务网', '逻辑漏洞', '中危')
('合肥工业大学', 'SQL注入漏洞', '中危')
('中国共产党广元市委员会组织部', 'SQL注入漏洞', '中危')
('东莞市东江水务有限公司', 'XSS漏洞', '中危')
('中国共产党广元市委员会组织部', 'SQL注入漏洞', '中危')
('象州县纪检监察网', 'SQL注入漏洞', '中危')
('浙江省盐业集团有限公司', 'SQL注入漏洞', '中危')
('银川城市快讯广告有限公司', 'XSS漏洞', '中危')
('靖江人才网', 'XSS漏洞', '中危')
('中国厨卫网', 'SQL注入漏洞', '中危')
('漫域_中国动漫综合门户', '弱口令漏洞', '低危')
('FastAdmin – 基于ThinkPHP5和Bootstrap的极速后台开发框架', '代码执行漏洞', '高危')
('北京市大兴区财科培训学校', '弱口令漏洞', '低危')
('天水市公共资源交易中心', 'SQL注入漏洞', '中危')
('八方资源网', 'XSS漏洞', '中危')
('赣州市电化教育馆', '信息泄露漏洞', '中危')
('中国工程院', '弱口令漏洞', '中危')
('哇棒移动传媒', '弱口令漏洞', '中危')
('海南省公安厅', '弱口令漏洞', '高危')
('CCBN', 'SQL注入漏洞', '中危')
('中国美术协会网', 'SQL注入漏洞', '中危')
('宁波港东南物流集团有限公司', '弱口令漏洞', '低危')
('宝应文明办', '弱口令漏洞', '低危')
('长江流域产权交易共同市场', '命令执行漏洞', '高危')
('曲靖市供销合作社', '弱口令漏洞', '中危')
('长江流域产权交易共同市场', '文件上传漏洞', '高危')
('长江流域产权交易共同市场', '命令执行漏洞', '高危')
('河北泰能医疗用品科技集团股份有限公司', 'SQL注入漏洞', '中危')
('新疆维吾尔自治区应急管理厅', '弱口令漏洞', '高危')
('广州国际美食节', '弱口令漏洞', '高危')
('安徽安防技术防范行业协会', 'SQL注入漏洞', '中危')
('中国葛洲坝集团', '弱口令漏洞', '低危')
('山东奥太电气有限公司', '代码执行漏洞', '中危')
('柳州市质量技术监督局', '弱口令漏洞', '低危')
('宿迁市劳动就业管理中心', 'SQL注入漏洞', '高危')
('法务之家（北京）科技有限公司', 'SQL注入漏洞', '中危')
('视觉中国', 'SQL注入漏洞', '中危')
('中国海洋石油集团有限公司', '逻辑漏洞', '中危')
('银川城市快讯广告有限公司', 'XSS漏洞', '中危')
('win7旗舰版 - 最好的win7系统下载网站', '弱口令漏洞', '中危')
('浙江省就业管理服务局', '任意文件操作漏洞', '中危')
('师宗县人民政府门户网', '弱口令漏洞', '中危')
('得力集团', '入侵事件漏洞', '高危')
('广州大学创新创业学院', '弱口令漏洞', '低危')
('FMC', '信息泄露漏洞', '高危')
('戴德梁行', '命令执行漏洞', '高危')
('加格达奇区人民政府网上政务服务中心', 'SQL注入漏洞', '中危')
('购车网', 'SQL注入漏洞', '中危')
('恒为科技(上海)股份有限公司', 'SQL注入漏洞', '中危')
('乐球吧', '弱口令漏洞', '中危')
('珠海企业服务平台(政企云)', '任意文件操作漏洞', '低危')
('深圳前海华人互联网金融服务集团有限公司', 'SQL注入漏洞', '中危')
('上海中晶科技有限公司', 'SQL注入漏洞', '中危')
('购车网', 'SQL注入漏洞', '中危')
('安庆市工商联', '弱口令漏洞', '中危')
('购车网', 'SQL注入漏洞', '中危')
('长沙朗慧信息科技有限公司', '弱口令漏洞', '中危')
('生昇塑膠股份有限公司', 'SQL注入漏洞', '中危')
('中共自贡市自流井区纪委自流井区监察委员会', 'SQL注入漏洞', '中危')
('SANA莎娜官方网站', 'SQL注入漏洞', '中危')
('杭州士兰微电子股份有限公司', 'SQL注入漏洞', '中危')
('求医网', '信息泄露漏洞', '低危')
('安徽省林业科学研究院', 'SQL注入漏洞', '中危')
('新疆银行', '弱口令漏洞', '低危')
('中科同昌信息技术集团有限公司', '弱口令漏洞', '中危')
('中共自贡市自流井区纪委自流井区监察委员会', 'SQL注入漏洞', '中危')
('大连精灵网络科技有限公司', '弱口令漏洞', '中危')
('百业网', 'XSS漏洞', '中危')
('山东城市建设职业学院', 'SQL注入漏洞', '中危')
('达飞轮船（中国）有限公司', 'SQL注入漏洞', '中危')
('UU头条', 'SQL注入漏洞', '中危')
('九江公众信息产业有限公司', 'SQL注入漏洞', '中危')
('书包网', '信息泄露漏洞', '低危')
('镇江市人民政府', 'SQL注入漏洞', '中危')
('新疆大学', 'SQL注入漏洞', '中危')
('万安集团', '弱口令漏洞', '低危')
('吉林省建设安全信息网', '信息泄露漏洞', '中危')
('华企商学院', '弱口令漏洞', '低危')
('军凯商联网', 'SQL注入漏洞', '中危')
('尚水股份', '弱口令漏洞', '中危')
('湖南阳光电子技术学校', '疑似被黑漏洞', '高危')
('财通证券资产管理有限公司', '命令执行漏洞', '高危')
('重庆建工集团', 'SQL注入漏洞', '中危')
('皮带秤厂家', '信息泄露漏洞', '低危')
('吃惊谷', '信息泄露漏洞', '低危')
('牡丹江舞曲网', '信息泄露漏洞', '低危')
('环球经济网', '信息泄露漏洞', '低危')
('奕乔网', '信息泄露漏洞', '低危')
('爬书网', '信息泄露漏洞', '低危')
('合肥设计研究院有限责任公司', '信息泄露漏洞', '低危')
('1919集团', '弱口令漏洞', '中危')
('嘉兴市银行业协会', '信息泄露漏洞', '低危')
('凌云工业股份有限公司', '弱口令漏洞', '中危')
('海参网', '逻辑漏洞', '中危')
('华锡集团', '弱口令漏洞', '中危')
('日照市商务局', '弱口令漏洞', '高危')
('fengchedm.com', 'SQL注入漏洞', '中危')
('超级变速器', '信息泄露漏洞', '低危')
('中缆科技（广州）有限公司', 'SQL注入漏洞', '中危')
('泸州职业技术学院', '信息泄露漏洞', '高危')
('中国石油化工集团有限公司', '弱口令漏洞', '低危')
('中国土地市场网', '弱口令漏洞', '中危')
('北京裕恒丰科技有限公司', 'SQL注入漏洞', '中危')
('景阳科技', '信息泄露漏洞', '高危')
('一览展会网', '疑似被黑漏洞', '低危')
('彭城招聘网', '信息泄露漏洞', '低危')
('焦作房产信息网', 'SQL注入漏洞', '中危')
('石家庄外国语学校', 'SQL注入漏洞', '高危')
('合肥美讯信息科技有限公司', '弱口令漏洞', '中危')
('海南省中小学卫生保健所', '信息泄露漏洞', '高危')
('翔鹭腾龙集团', '逻辑漏洞', '中危')
('至美基金会', '信息泄露漏洞', '低危')
('中国少年预备役训练营', 'SQL注入漏洞', '中危')
('江永新闻网', '疑似被黑漏洞', '低危')
('成都数字学校', '权限绕过漏洞', '低危')
('成都数字学校', '弱口令漏洞', '低危')
('合肥工业大学', 'SQL注入漏洞', '中危')
('新华书店阅淘网', 'SQL注入漏洞', '中危')
('广州巨虹科技有限公司', '逻辑漏洞', '高危')
('海南省学生体质健康网', '权限绕过漏洞', '高危')
('黑龙江省伊春市供销合作社', '逻辑漏洞', '高危')
('兴安盟卫生和计划生育委员会', '弱口令漏洞', '高危')
('新华书店阅淘网', 'SQL注入漏洞', '中危')
('合肥工业大学', 'SQL注入漏洞', '中危')
('湖南科技大学', '疑似被黑漏洞', '低危')
('中央美术学院美术馆', 'SQL注入漏洞', '中危')
('共青团北京市丰台区委员会', 'SQL注入漏洞', '中危')
('北京中公教育科技有限公司', '信息泄露漏洞', '中危')
('武汉建工集团', 'SQL注入漏洞', '中危')
('UU头条', 'SQL注入漏洞', '中危')
('上海市老年教育信息中心', '弱口令漏洞', '中危')
('新华书店阅淘网', 'SQL注入漏洞', '中危')
('武汉建工集团', 'SQL注入漏洞', '中危')
('广东瑞图万方科技股份有限公司', 'SQL注入漏洞', '中危')
('中信湘雅生殖与遗传专科医院有限公司', '信息泄露漏洞', '低危')
('社会观察网', '信息泄露漏洞', '低危')
('动力展', '弱口令漏洞', '中危')
('爱去小说网', '信息泄露漏洞', '低危')
('浙江五洲工程项目管理有限公司', '弱口令漏洞', '低危')
('山东恒瑞通新材料工程有限公司', '信息泄露漏洞', '低危')
('健康仙桃公众服务门户', '信息泄露漏洞', '高危')
('河北精彩建材科技有限公司', '信息泄露漏洞', '低危')
('盐城市鸿钢机械制造有限公司', '信息泄露漏洞', '低危')
('黑龙江省供销合作社', '弱口令漏洞', '低危')
('迈瑞医疗', '弱口令漏洞', '中危')
('四川商务职业技术学院', 'SQL注入漏洞', '中危')
('海韵集团', '弱口令漏洞', '中危')
('成龙集团', '弱口令漏洞', '中危')
('南通建工集团', '弱口令漏洞', '中危')
('长兴县卫生计划局', '弱口令漏洞', '中危')
('额济纳旗人民政府', '信息泄露漏洞', '低危')
('苏州市商务局', '弱口令漏洞', '中危')
('江西消防网', '信息泄露漏洞', '低危')
('人力资源培训网', '信息泄露漏洞', '低危')
('百色财政局门户网', '信息泄露漏洞', '低危')
('云南省公安厅', '弱口令漏洞', '低危')
('中共甘肃省委党校', '弱口令漏洞', '中危')
('国家木薯产业技术体系信息平台', '信息泄露漏洞', '低危')
('广西建设职业技术学院', '弱口令漏洞', '中危')
('西安蜀山网络科技有限公司', 'SQL注入漏洞', '中危')
('中国美酷国际集团', '弱口令漏洞', '低危')
('中国汽车技术研究中心有限公司', 'SQL注入漏洞', '中危')
('搜号网', 'SQL注入漏洞', '中危')
('广西建设职业技术学院', '信息泄露漏洞', '中危')
('宝沃汽车(中国)有限公司', 'SQL注入漏洞', '中危')
('博思人力集团', 'SQL注入漏洞', '中危')
('北京市盈科律师事务所', 'XSS漏洞', '低危')
('21品味旅游网', 'SQL注入漏洞', '中危')
('北京市盈科律师事务所', 'SQL注入漏洞', '中危')
('北京市盈科律师事务所', '弱口令漏洞', '低危')
('联投集团', '弱口令漏洞', '低危')
('上海市高级技工学校', '弱口令漏洞', '低危')
('青岛迪美热电设备有限公司', '信息泄露漏洞', '低危')
('快意电梯', '信息泄露漏洞', '低危')
('深圳市儿童医院', '弱口令漏洞', '中危')
('太极养生医馆', '弱口令漏洞', '中危')
('容商天下网络有限公司', '弱口令漏洞', '中危')
('三沙国海信通科技发展有限公司', '弱口令漏洞', '中危')
('广西建设职业技术学院', '信息泄露漏洞', '低危')
('中国饮料工业协会', '信息泄露漏洞', '低危')
('上海柠萌影视传媒有限公司', 'SQL注入漏洞', '中危')
('云投集团', '弱口令漏洞', '低危')
('海南省人民政府', '弱口令漏洞', '低危')
('广西建设职业技术学院', '信息泄露漏洞', '低危')
('上海立达学院', '弱口令漏洞', '中危')
('图书馆学刊编辑部', '任意文件操作漏洞', '中危')
('葫芦岛人大网', '信息泄露漏洞', '低危')
('主机吧', '文件包含漏洞', '低危')
('双登集团', '弱口令漏洞', '中危')
('河南省二七区政协', '信息泄露漏洞', '低危')
('辽宁教育出版社', '信息泄露漏洞', '中危')
('苏州市创业姑苏', 'XSS漏洞', '中危')
('碧桂园', '弱口令漏洞', '中危')
('黑龙江省科学技术情报研究院', '信息泄露漏洞', '低危')
('蓝润集团', '弱口令漏洞', '中危')
('孙吴人民政府网', '信息泄露漏洞', '低危')
('淮阴区纪律检查委员会', '信息泄露漏洞', '低危')
('浙江科技学院', '信息泄露漏洞', '低危')
('百瑞集团', '弱口令漏洞', '低危')
('布尔津县党风廉政建设网', '信息泄露漏洞', '低危')
('中国副食品批发网（义务华品商贸有限公司）', 'SQL注入漏洞', '中危')
('中国副食品批发网（义务华品商贸有限公司）', 'XSS漏洞', '中危')
('中国星空新闻网', '信息泄露漏洞', '低危')
('江苏久久软件集团有限公司', '命令执行漏洞', '高危')
('平顶山学院图书馆', '命令执行漏洞', '高危')
('翡翠教育', '信息泄露漏洞', '中危')
('河南良众管业', '信息泄露漏洞', '中危')
('雅致轩美容院', '信息泄露漏洞', '低危')
('郑州世工机械设备', '信息泄露漏洞', '低危')
('登车桥厂家', '信息泄露漏洞', '中危')
('资阳新闻网', '信息泄露漏洞', '中危')
('火名网', 'XSS漏洞', '中危')
('梁黄顾建筑设计(深圳)有限公司', '弱口令漏洞', '低危')
('菱王电梯', '弱口令漏洞', '中危')
('中油工程项目管理公司', 'SQL注入漏洞', '中危')
('山东建工集团', 'SQL注入漏洞', '中危')
('曹妃甸热线', '信息泄露漏洞', '低危')
('格林美', '弱口令漏洞', '低危')
('广州阳普医疗科技股份有限公司', '弱口令漏洞', '中危')
('中国信鸽网', 'SQL注入漏洞', '中危')
('天津市天友建筑设计股份有限公司', '弱口令漏洞', '中危')
('大众出版分社', '信息泄露漏洞', '低危')
('广东爱瓦力科技股份有限公司', '弱口令漏洞', '中危')
('南通四建集团', '弱口令漏洞', '低危')
('全国中小学教师继续教育网', '弱口令漏洞', '低危')
('十堰房产网', '弱口令漏洞', '中危')
('傲农集团', '弱口令漏洞', '中危')
('方太集团', '弱口令漏洞', '高危')
('上海移远通讯技术股份有限公司', '弱口令漏洞', '中危')
